SliceNumber,ClusterCount
13,0
29,1
25,1
33,0
2,0
3,0
32,0
24,1
28,1
12,0
19,0
23,0
4,0
15,0
8,0
9,0
14,0
5,0
34,0
22,0
18,0
6,0
21,0
17,0
16,0
20,1
7,0
11,0
31,0
27,1
26,1
30,0
10,0
