SliceNumber,ClusterCount
10,0
4,0
8,0
26,0
30,0
31,0
9,0
27,1
5,0
11,0
20,1
16,1
2,0
3,0
17,1
21,1
34,0
22,1
18,1
14,0
15,0
19,1
23,1
28,0
6,0
12,0
32,0
24,1
25,1
33,0
13,0
29,0
7,0
