SliceNumber,ClusterCount
7,0
10,0
26,0
30,0
31,0
27,0
11,0
6,0
20,0
16,1
17,1
21,0
18,0
34,0
22,0
14,1
3,0
2,0
15,1
23,0
19,0
12,1
5,0
28,0
32,0
9,0
24,0
25,0
8,0
33,0
29,0
4,0
13,1
