SliceNumber,ClusterCount
9,0
10,0
26,0
5,0
30,0
31,0
4,0
27,0
11,0
8,0
20,0
3,0
16,1
17,1
2,0
21,0
18,1
34,0
22,0
14,1
15,1
23,0
19,0
12,0
28,0
32,0
7,0
24,0
25,0
6,0
33,0
29,0
13,1
