SliceNumber,ClusterCount
21,0
9,0
5,0
17,0
16,0
4,0
8,0
20,0
3,0
11,0
31,0
27,0
26,0
30,0
10,0
2,0
13,1
29,0
25,0
33,0
32,0
24,0
28,0
12,1
19,0
23,0
15,1
7,0
6,0
14,1
34,0
22,0
18,0
