SliceNumber,ClusterCount
15,0
23,1
2,0
19,0
18,0
22,1
3,0
34,0
14,0
33,0
4,0
25,0
29,0
8,0
13,0
12,0
28,0
9,0
5,0
24,1
32,0
27,0
6,0
31,0
11,0
10,0
30,0
26,0
7,0
17,0
21,1
20,0
16,0
